symbol,close,limitUp,limitDown
AAL,13.30,16.00,10.68
AAPL,182.68,219.22,146.17
ADBE,260.67,312.80,208.53
ADM, 41.00, 49.20, 32.80
AMZN,187.79,193.42,182.16
ANET,295.21,304.06,286.36
APTV,83.67,86.18,81.16
ARM,119.00,122.56,115.43
ASML,910.61,937.92,883.30
AVGO,1320.03,1359.63,1280.43
AXP,187.33,192.94,181.72
BA,260.71,268.53,252.89
BABA,77.50,79.82,75.18
BAC,33.68,34.69,32.67
BIDU,110.56,113.87,107.25
BILI,14.16,14.58,13.74
BRK.B,356.93,367.63,346.23
C,51.46,53.00,49.92
CAT,344.53,354.86,334.20
CDNS,325.15,334.90,315.40
COST,766.10,789.08,743.12
CRM,278.98,287.34,270.62
CRWD,312.90,322.28,303.52
DE,405.41,417.57,393.25
DG,136.78,140.88,132.68
DIS,105.46,108.62,102.30
EXPE,126.21,129.99,122.43
F,12.21,12.57,11.85
FCX,42.54,43.81,41.27
FDX,258.27,266.01,250.53
FTNT,59.57,61.35,57.79
GILD,63.28,65.17,61.39
GM,35.92,36.99,34.85
GOLD,16.42,16.91,15.93
PYPL,63.70,65.61,61.79
QCOM,180.00,185.40,174.60
QQQ,439.56,452.74,426.38
RTX,103.97,107.08,100.86
SE,40.49,41.70,39.28
SNOW,198.97,204.93,193.01
SNPS,550.82,567.34,534.30
SONY,78.75,81.11,76.39
SPY,550.51,567.02,534.00
SQ,62.32,64.18,60.46
SQQQ,10.75,11.07,10.43
SWKS,93.12,95.91,90.33
T,16.80,17.30,16.30
TEAM,178.80,184.16,173.44
TGT,159.67,164.46,154.88
TM,229.02,235.89,222.15
TQQQ,58.22,59.96,56.48
TSLA,174.15,179.37,168.93
TSM,142.33,146.59,138.07
U,16.09,16.57,15.61
UBER,72.01,74.17,69.85
UNH,501.65,516.69,486.61
V,276.87,285.17,268.57
VFS,3.00,3.09,2.94
WMT,60.76,62.58,58.94
WYNN,100.00,102.99,97.02
X,38.01,39.15,36.87
XOM,109.31,112.58,106.04
ZS,176.49,181.78,171.20